1.000000000000000000e+00 1.257425742574257432e+00 9.862736273627363826e-01
1.025742574257425765e+00 1.519323796902776191e+00 9.758356932354472768e-01
1.075100696521960941e+00 1.791941361974298097e+00 9.692540915252902956e-01
1.146784763067194568e+00 2.081114690491183250e+00 9.673246730822691042e-01
1.240217755809593481e+00 2.392454187887104844e+00 9.711003065455083849e-01
1.355441399017344617e+00 2.731500083199068563e+00 9.819391456045927224e-01
1.493047267435517078e+00 3.103853962870974481e+00 1.001572551021844504e+00
1.654127936979062907e+00 3.515289597870837834e+00 1.032194745122673840e+00
1.840244103068240600e+00 3.971844597822420386e+00 1.076577643945261897e+00
2.053404152543658601e+00 4.479892347018332721e+00 1.138215525417294094e+00
2.296052971991126235e+00 5.046191235422613275e+00 1.221505275244062494e+00
2.571066798334274761e+00 5.677905170677731483e+00 1.331968840839216961e+00
2.881750635568620211e+00 6.382585473366816586e+00 1.476525037289294628e+00
3.231834119348440115e+00 7.168099194899546056e+00 1.663817642317012124e+00
3.625460626903550754e+00 8.042482293967189833e+00 1.904605199328391674e+00
4.067162793609914395e+00 9.013687606084873849e+00 2.212214170105815558e+00
4.561815274857410785e+00 1.008918689021831838e+01 2.603049583220168550e+00
5.114552436393501544e+00 1.127537350151424000e+01 3.097143967552921318e+00
5.730634542905574946e+00 1.257669818958386010e+01 3.718703160742396818e+00
6.415240907573403817e+00 1.399445730426261569e+01 4.496572705050337682e+00
7.173162547242325715e+00 1.552514489930918273e+01 5.464496673090279089e+00
8.008360782449011950e+00 1.715828644541476322e+01 6.660968333498513694e+00
8.923353348745587610e+00 1.887370657645287864e+01 8.128379085702114537e+00
9.918388671516316535e+00 2.063826848917155132e+01 9.911067632658339122e+00
1.099037665328184055e+01 2.240228741475229057e+01 1.205178253099711583e+01
1.213156772942888573e+01 2.409609526598117313e+01 1.458605517695194642e+01
1.332802048308411536e+01 2.562763225701645453e+01 1.753413433782133879e+01
1.455798166047735087e+01 2.688242679279863623e+01 2.089059068202098857e+01
1.579042617370947887e+01 2.772775526984250760e+01 2.461258578655744600e+01
1.698415908332277979e+01 2.802285058283631258e+01 2.860912140509241297e+01
1.808802823327413378e+01 2.763630943674087348e+01 3.273505018699198388e+01
1.904285635362080953e+01 2.646992141718825309e+01 3.679449282407479416e+01
1.978556285997755637e+01 2.448503119927199734e+01 4.055746174995962150e+01
2.025550969390700118e+01 2.172421120514877657e+01 4.379007609403574008e+01
2.040237984503117730e+01 1.831946525012291360e+01 4.629319770773796705e+01
2.019408838554035057e+01 1.448051558067392719e+01 4.793903164556611074e+01
1.962273110505370965e+01 1.046330001575537061e+01 4.869371773283067739e+01
1.870678799612387522e+01 6.526901099958855035e+00 4.861820579641233309e+01
1.748879930650737080e+01 2.892103433288744530e+00 4.784805191064624807e+01
